,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,23.94,0.0,18.41,0.73,23.63,1561500000,0,10.003,210.0,,0.41
1,23.51,,19.0,0.78,23.11,1561503600,0,10.003,200.0,,1.0
2,21.58,,19.0,0.88,21.12,1561507200,0,10.003,170.0,,1.0
3,21.58,,19.0,0.88,21.12,1561510800,0,10.003,260.0,,1.5
4,21.12,0.0,17.83,0.83,20.81,1561514400,0,10.003,291.0,,1.75
5,20.1,0.0,17.41,0.86,19.81,1561518000,0,10.003,230.0,,0.62
6,20.01,0.0,16.83,0.83,19.81,1561521600,0,10.003,266.0,,1.3
7,22.09,0.0,17.83,0.78,21.82,1561525200,0,10.003,226.0,,1.5
8,24.94,0.0,18.41,0.68,24.63,1561528800,1,10.003,,,0.0
9,28.43,0.0,19.0,0.61,27.21,1561532400,3,10.003,,,0.0
10,31.69,0.0,20.0,0.56,29.81,1561536000,4,10.003,,,0.0
11,33.67,0.08,19.59,0.48,31.82,1561539600,6,10.003,181.0,,1.5
12,34.61,0.08,18.59,0.42,33.23,1561543200,8,10.003,116.0,,1.75
13,35.37,0.0,16.83,0.34,34.81,1561546800,9,10.003,330.0,,3.6
14,36.18,0.0,17.41,0.35,35.23,1561550400,9,10.003,339.0,,2.72
15,37.02,0.0,16.83,0.32,36.24,1561554000,8,10.003,341.0,9.3,2.6
16,36.79,0.0,16.41,0.31,36.24,1561557600,6,10.003,,,0.0
17,38.25,0.0,17.0,0.3,37.22,1561561200,4,10.003,311.0,,2.81
18,37.94,0.0,17.58,0.33,36.65,1561564800,3,10.003,4.0,,3.81
19,37.02,0.0,18.0,0.35,35.65,1561568400,1,10.003,338.0,,3.81
20,36.22,0.0,18.59,0.39,34.63,1561572000,0,10.003,331.0,11.3,4.01
21,33.85,0.0,18.41,0.43,32.64,1561575600,0,10.003,353.0,,4.31
22,31.21,0.0,17.41,0.45,30.64,1561579200,0,10.003,1.0,7.7,4.83
23,30.89,0.0,18.0,0.48,30.06,1561582800,0,10.003,35.0,,3.79
